episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home,prospect
221,572.00,881.60,387,2.068,97.3,0.136,0.108,0.068,0.110,0.119,0.136,0.113,0.210
222,1136.00,890.63,1098,2.064,98.0,0.133,0.156,0.123,0.119,0.111,0.115,0.105,0.137
223,961.00,892.56,656,2.060,98.5,0.165,0.192,0.103,0.103,0.100,0.120,0.079,0.137
224,834.00,896.80,617,2.043,98.9,0.194,0.129,0.148,0.137,0.095,0.137,0.080,0.080
225,770.00,898.18,611,2.047,99.3,0.181,0.143,0.111,0.157,0.087,0.146,0.063,0.111
226,1265.00,904.04,910,2.048,99.8,0.155,0.170,0.125,0.149,0.116,0.128,0.076,0.082
227,1331.00,910.61,1145,2.015,100.0,0.180,0.090,0.180,0.189,0.108,0.108,0.054,0.090
228,785.00,906.58,665,2.045,101.2,0.151,0.137,0.110,0.155,0.105,0.090,0.094,0.159
229,378.00,902.27,276,2.014,101.4,0.197,0.052,0.156,0.191,0.046,0.173,0.098,0.087
230,464.00,900.86,423,2.040,102.5,0.144,0.104,0.129,0.149,0.099,0.116,0.102,0.157
231,891.00,899.90,797,1.055,102.6,0.638,0.017,0.017,0.034,0.017,0.121,0.121,0.034
232,679.00,901.01,532,1.707,102.9,0.315,0.025,0.137,0.112,0.033,0.112,0.149,0.116
233,612.00,892.11,560,1.547,103.2,0.463,0.000,0.074,0.056,0.006,0.105,0.247,0.049
234,542.00,889.46,453,1.755,103.5,0.375,0.018,0.121,0.085,0.013,0.085,0.210,0.094
235,77.00,883.83,77,0.757,103.6,0.643,0.000,0.000,0.000,0.000,0.048,0.310,0.000
236,661.00,884.52,508,1.409,103.8,0.518,0.000,0.024,0.047,0.000,0.141,0.235,0.035
237,377.00,882.73,361,1.812,104.1,0.284,0.028,0.149,0.121,0.014,0.158,0.181,0.065
238,1072.00,882.59,1072,1.365,104.2,0.507,0.000,0.080,0.107,0.000,0.080,0.173,0.053
239,683.00,883.18,416,0.684,104.3,0.780,0.000,0.000,0.040,0.000,0.120,0.060,0.000
240,1273.00,890.73,934,1.242,104.4,0.386,0.000,0.071,0.043,0.000,0.300,0.129,0.071
241,538.00,889.84,480,1.749,104.7,0.250,0.000,0.119,0.142,0.000,0.227,0.199,0.062
242,627.00,885.64,627,1.737,104.9,0.346,0.000,0.085,0.092,0.000,0.169,0.231,0.077
243,1349.00,890.19,1040,1.638,105.1,0.280,0.009,0.093,0.131,0.000,0.234,0.159,0.093
244,638.00,879.08,606,1.747,105.3,0.261,0.007,0.134,0.119,0.000,0.231,0.187,0.060
245,342.00,876.00,329,1.911,105.6,0.206,0.034,0.127,0.186,0.020,0.147,0.152,0.127
246,649.00,870.43,647,1.661,105.8,0.270,0.000,0.071,0.095,0.000,0.214,0.270,0.079
247,432.00,870.70,395,1.996,106.2,0.187,0.102,0.132,0.119,0.051,0.132,0.128,0.149
248,523.00,861.80,346,1.908,106.5,0.185,0.041,0.123,0.138,0.051,0.123,0.138,0.200
249,1151.00,867.15,1095,1.764,106.7,0.229,0.029,0.133,0.057,0.000,0.143,0.200,0.210
250,484.00,863.07,474,1.919,106.9,0.173,0.023,0.150,0.150,0.012,0.168,0.173,0.150
251,0.00,846.37,0,0.739,107.0,0.758,0.000,0.000,0.000,0.000,0.000,0.242,0.000
