episode,reward,avg100_reward,deposited,mean_entropy,elapsed_sec,stay,north,east,south,west,random,home
241,1296.00,666.10,1040,1.513,82.6,0.200,0.329,0.071,0.035,0.035,0.024,0.306
242,260.00,662.85,269,1.835,82.8,0.163,0.149,0.064,0.227,0.128,0.057,0.213
243,322.00,664.51,322,1.135,82.9,0.347,0.224,0.000,0.000,0.000,0.000,0.429
244,448.00,668.68,412,1.880,83.6,0.079,0.075,0.165,0.290,0.146,0.134,0.111
245,1111.00,670.82,1000,1.612,83.8,0.265,0.191,0.059,0.103,0.044,0.074,0.265
246,788.00,673.71,709,1.683,83.9,0.238,0.139,0.069,0.139,0.109,0.050,0.257
247,918.00,681.33,977,1.823,84.6,0.193,0.162,0.071,0.231,0.117,0.124,0.102
248,396.00,679.14,315,1.195,84.7,0.424,0.220,0.017,0.000,0.017,0.000,0.322
249,403.00,678.03,214,1.838,84.9,0.162,0.195,0.043,0.151,0.103,0.130,0.216
250,764.00,681.07,684,1.894,85.6,0.135,0.103,0.066,0.215,0.149,0.204,0.128
251,309.00,667.56,329,1.483,85.7,0.314,0.216,0.000,0.039,0.137,0.000,0.294
252,290.00,665.70,359,1.908,86.4,0.138,0.117,0.094,0.214,0.115,0.133,0.189
253,985.00,672.24,846,1.760,86.7,0.197,0.181,0.043,0.117,0.144,0.085,0.234
254,725.00,674.07,762,1.739,87.1,0.251,0.241,0.030,0.094,0.094,0.064,0.227
255,453.00,677.44,446,1.861,87.5,0.253,0.185,0.052,0.124,0.104,0.112,0.169
256,516.00,672.79,483,1.876,88.2,0.158,0.163,0.043,0.188,0.111,0.149,0.188
257,849.00,676.28,633,1.722,88.3,0.286,0.286,0.022,0.022,0.110,0.176,0.099
258,1225.00,675.84,964,1.803,88.5,0.221,0.205,0.041,0.025,0.115,0.189,0.205
259,454.00,677.53,391,1.904,88.9,0.169,0.146,0.071,0.142,0.146,0.138,0.189
260,314.00,671.70,390,1.913,89.3,0.200,0.122,0.073,0.200,0.106,0.131,0.167
261,798.00,671.62,803,1.918,90.1,0.134,0.102,0.131,0.218,0.139,0.167,0.108
262,417.00,666.00,397,0.810,90.2,0.648,0.167,0.037,0.000,0.037,0.019,0.093
263,689.00,669.83,573,1.910,90.7,0.179,0.124,0.145,0.191,0.103,0.127,0.130
264,1240.00,676.27,1181,1.477,90.9,0.521,0.128,0.032,0.106,0.064,0.053,0.096
265,493.00,676.47,346,1.838,91.2,0.259,0.085,0.075,0.137,0.085,0.198,0.160
266,743.00,682.49,651,1.879,91.7,0.173,0.101,0.145,0.134,0.123,0.179,0.145
267,534.00,685.91,539,1.842,92.0,0.191,0.123,0.123,0.172,0.069,0.201,0.123
268,468.00,688.77,444,1.837,92.4,0.229,0.117,0.108,0.138,0.083,0.196,0.129
269,1101.00,692.95,964,1.026,92.5,0.634,0.024,0.000,0.000,0.000,0.268,0.073
270,632.00,692.34,589,1.843,92.8,0.220,0.112,0.059,0.137,0.112,0.273,0.088
271,388.00,690.83,462,1.907,93.3,0.117,0.131,0.102,0.157,0.120,0.241,0.131
272,652.00,686.47,663,1.906,93.8,0.121,0.121,0.101,0.173,0.136,0.199,0.147
273,121.00,681.41,121,0.917,93.9,0.382,0.000,0.000,0.000,0.000,0.059,0.559
274,532.00,674.94,568,1.868,94.1,0.130,0.103,0.098,0.114,0.109,0.234,0.212
275,308.00,661.67,291,1.866,94.5,0.184,0.074,0.078,0.134,0.074,0.240,0.217
276,716.00,662.83,707,1.899,94.9,0.131,0.134,0.138,0.154,0.082,0.190,0.170
